rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1681757400,1.743e+01,6.001e+00,4.711e-01,1.622e-01
1681758000,8.640e+00,1.550e+01,2.335e-01,4.190e-01
1681758600,1.281e+01,5.001e+00,3.462e-01,1.352e-01
1681759200,8.706e+00,1.000e+00,2.353e-01,2.705e-02
1681759800,8.574e+00,6.001e+00,2.317e-01,1.622e-01
1681760400,9.664e+00,9.501e+00,2.612e-01,2.568e-01
1681761000,1.000e+00,8.501e+00,2.705e-02,2.298e-01
1681761600,6.506e+00,1.000e+00,1.758e-01,2.705e-02
1681762200,8.560e+00,1.398e+01,2.314e-01,3.778e-01
1681762800,8.509e+00,6.501e+00,2.300e-01,1.757e-01
1681763400,1.078e+01,1.100e+01,2.914e-01,2.973e-01
1681764000,1.288e+01,1.000e+00,3.482e-01,2.705e-02
1681764600,1.301e+01,1.900e+01,3.516e-01,5.136e-01
1681765200,1.084e+01,2.000e+00,2.930e-01,2.705e-02
1681765800,6.507e+00,1.000e+00,1.759e-01,2.705e-02
1681766400,1.091e+01,8.001e+00,2.949e-01,2.162e-01
1681767000,1.315e+01,1.000e+00,3.553e-01,2.705e-02
1681767600,8.641e+00,1.400e+01,2.335e-01,3.784e-01
1681768200,1.542e+01,3.501e+00,4.169e-01,9.461e-02
1681768800,1.770e+01,2.500e+00,4.784e-01,6.758e-02
1681769400,1.738e+01,2.000e+01,4.698e-01,5.406e-01
1681770000,2.226e+01,1.000e+00,6.016e-01,2.705e-02
1681770600,4.701e+00,2.000e+00,1.271e-01,2.705e-02
1681771200,2.726e+01,1.000e+01,7.368e-01,2.703e-01
1681771800,1.985e+01,5.501e+00,5.366e-01,1.487e-01
1681772400,8.641e+00,7.001e+00,2.335e-01,1.892e-01
1681773000,1.761e+01,3.500e+00,4.759e-01,9.461e-02
1681773600,1.988e+01,6.001e+00,5.374e-01,1.622e-01
1681774200,1.502e+01,1.550e+01,4.058e-01,4.190e-01
1681774800,1.987e+01,1.000e+00,5.369e-01,2.705e-02
1681775400,1.983e+01,1.000e+00,5.359e-01,2.705e-02
1681776000,1.000e+00,7.001e+00,2.705e-02,1.892e-01
1681776600,2.226e+01,9.501e+00,6.016e-01,2.568e-01
1681777200,1.080e+01,1.000e+00,2.920e-01,2.705e-02
1681777800,4.240e+00,1.300e+01,1.146e-01,3.514e-01
1681778400,1.517e+01,6.001e+00,4.100e-01,1.622e-01
1681779000,8.640e+00,5.001e+00,2.335e-01,1.352e-01
1681779600,1.312e+01,1.050e+01,3.546e-01,2.838e-01
1681780200,1.000e+00,2.000e+00,2.705e-02,2.705e-02
1681780800,1.543e+01,7.001e+00,4.169e-01,1.892e-01
1681781400,8.706e+00,3.501e+00,2.353e-01,9.461e-02
1681782000,8.574e+00,5.501e+00,2.317e-01,1.487e-01
1681782600,4.306e+00,2.000e+00,1.164e-01,2.705e-02
1681783200,8.640e+00,9.501e+00,2.335e-01,2.568e-01
1681783800,1.091e+01,6.001e+00,2.950e-01,1.622e-01
1681784400,2.745e+01,8.001e+00,7.419e-01,2.162e-01
1681785000,8.706e+00,1.000e+00,2.353e-01,2.705e-02
1681785600,1.313e+01,1.100e+01,3.547e-01,2.973e-01
1681786200,1.312e+01,1.000e+00,3.546e-01,2.705e-02
1681786800,6.440e+00,6.501e+00,1.741e-01,1.757e-01
1681787400,1.307e+01,1.000e+00,3.532e-01,2.705e-02
1681788000,6.374e+00,1.400e+01,1.723e-01,3.784e-01
1681788600,6.440e+00,9.001e+00,1.741e-01,2.433e-01
1681789200,6.506e+00,7.501e+00,1.758e-01,2.027e-01
1681789800,8.706e+00,1.050e+01,2.353e-01,2.838e-01
1681790400,8.640e+00,1.000e+00,2.335e-01,2.705e-02
1681791000,1.538e+01,1.000e+00,4.157e-01,2.705e-02
1681791600,1.307e+01,1.800e+01,3.533e-01,4.866e-01
1681792200,1.077e+01,1.000e+00,2.912e-01,2.705e-02
1681792800,1.305e+01,3.994e+00,3.527e-01,1.079e-01
1681793400,2.734e+01,9.001e+00,7.390e-01,2.433e-01
1681794000,1.753e+01,5.001e+00,4.737e-01,1.352e-01
1681794600,8.641e+00,4.501e+00,2.335e-01,1.216e-01
1681795200,1.984e+01,1.900e+01,5.362e-01,5.136e-01
1681795800,3.717e+01,3.501e+00,1.005e+00,9.461e-02
1681796400,1.081e+01,2.500e+00,2.921e-01,6.758e-02
1681797000,1.963e+01,3.000e+00,5.305e-01,8.109e-02
1681797600,6.507e+00,5.001e+00,1.759e-01,1.352e-01
1681798200,1.089e+01,6.501e+00,2.943e-01,1.757e-01
1681798800,2.215e+01,1.550e+01,5.986e-01,4.190e-01
1681799400,2.198e+01,1.000e+00,5.940e-01,2.705e-02
1681800000,1.082e+01,1.400e+01,2.923e-01,3.784e-01
1681800600,4.174e+00,4.501e+00,1.128e-01,1.216e-01
1681801200,1.090e+01,3.501e+00,2.945e-01,9.461e-02
1681801800,1.291e+01,1.000e+00,3.489e-01,2.705e-02
1681802400,2.462e+01,1.600e+01,6.653e-01,4.325e-01
1681803000,2.208e+01,9.501e+00,5.967e-01,2.568e-01
1681803600,1.088e+01,1.000e+00,2.941e-01,2.705e-02
1681804200,1.288e+01,7.001e+00,3.482e-01,1.892e-01
1681804800,1.519e+01,5.001e+00,4.104e-01,1.352e-01
1681805400,1.295e+01,1.200e+01,3.500e-01,3.244e-01
1681806000,8.707e+00,5.001e+00,2.353e-01,1.352e-01
1681806600,1.765e+01,4.501e+00,4.769e-01,1.216e-01
1681807200,1.733e+01,7.501e+00,4.684e-01,2.027e-01
1681807800,1.749e+01,3.994e+00,4.727e-01,1.079e-01
1681808400,1.744e+01,1.150e+01,4.712e-01,3.109e-01
1681809000,1.987e+01,5.001e+00,5.370e-01,1.352e-01
1681809600,1.082e+01,1.800e+01,2.924e-01,4.866e-01
1681810200,1.076e+01,3.000e+00,2.908e-01,8.109e-02
1681810800,1.993e+01,7.001e+00,5.387e-01,1.892e-01
1681811400,1.523e+01,1.000e+01,4.116e-01,2.703e-01
1681812000,2.448e+01,1.150e+01,6.616e-01,3.109e-01
1681812600,1.980e+01,7.001e+00,5.351e-01,1.892e-01
1681813200,2.170e+01,1.950e+01,5.865e-01,5.271e-01
1681813800,1.504e+01,9.501e+00,4.064e-01,2.568e-01
1681814400,2.937e+01,5.501e+00,7.937e-01,1.487e-01
1681815000,2.658e+01,2.100e+01,7.184e-01,5.676e-01
1681815600,2.893e+01,1.500e+01,7.819e-01,4.055e-01
